alert_action,alert_category,alert_severity,alert_signature,alert_signature_id,app_proto,bytes_toclient,bytes_toserver,dest_ip,dest_port,event_type,flow_age,flow_alerted,flow_end,flow_id,flow_reason,flow_start,flow_state,flowbits,http_content_type,http_host,http_length,http_method,http_status,http_url,http_user_agent,in_iface,pkts_toclient,pkts_toserver,proto,src_ip,src_port,tcp_ack,tcp_fin,tcp_flags,tcp_flags_tc,tcp_flags_ts,tcp_psh,tcp_state,tcp_syn,timestamp
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74655,1116,192.168.100.4,80,flow,1,True,2025-06-28T07:32:35.202822+0700,375280151691469,timeout,2025-06-28T07:32:34.983245+0700,closed,slowread_detected,text/html,192.168.100.4,70571,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,55,14,TCP,192.168.100.6,49652,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:34:47.034264+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74594,1182,192.168.100.4,80,flow,0,True,2025-06-28T07:32:35.268667+0700,349173193053635,timeout,2025-06-28T07:32:35.071107+0700,closed,slowread_detected,text/html,192.168.100.4,70576,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,54,15,TCP,192.168.100.6,49660,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:34:02.317750+0700
,,,,,http,75265,1642,192.168.100.4,80,flow,1,True,2025-06-28T07:27:42.076836+0700,861390973552988,timeout,2025-06-28T07:27:41.772444+0700,closed,slowread_detected,,,,,,,,enp0s3,57,22,TCP,192.168.100.6,39116,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:32:35.538670+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,75067,1048,192.168.100.4,80,flow,0,True,2025-06-28T07:32:37.416829+0700,1483124016253062,timeout,2025-06-28T07:32:37.362630+0700,closed,slowread_detected,text/html,192.168.100.4,71051,GET,200,/2025/06/05/how-to-detect-and-mitigate-slow-read-attacks-on-your-website/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,54,13,TCP,192.168.100.6,49668,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:34:16.329888+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,75199,1048,192.168.100.4,80,flow,1,True,2025-06-28T07:32:39.023386+0700,1464329239402800,timeout,2025-06-28T07:32:38.923952+0700,closed,slowread_detected,text/html,192.168.100.4,71051,GET,200,/2025/06/05/how-to-detect-and-mitigate-slow-read-attacks-on-your-website/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,56,13,TCP,192.168.100.6,49684,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:33:44.274975+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,77381,1119,192.168.100.4,80,flow,1,True,2025-06-28T07:32:40.062010+0700,1227092425936238,timeout,2025-06-28T07:32:39.953710+0700,closed,slowread_detected,text/html,192.168.100.4,73167,GET,200,/2025/06/05/what-is-a-slow-read-attack-understanding-this-sneaky-cyber-threat/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,57,14,TCP,192.168.100.6,49698,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:34:59.057620+0700
,,,,,http,76942,1527,192.168.100.4,80,flow,0,True,2025-06-28T07:29:16.223750+0700,1849199098085310,timeout,2025-06-28T07:29:16.147390+0700,closed,slowread_detected,,,,,,,,enp0s3,58,21,TCP,192.168.100.6,33880,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:32:40.211658+0700
,,,,,http,204546,2930,192.168.100.4,80,flow,18,True,2025-06-28T07:28:52.369100+0700,1990729005140810,timeout,2025-06-28T07:28:34.854858+0700,closed,slowread_detected,,,,,,,,enp0s3,147,38,TCP,192.168.100.6,41832,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:32:41.549275+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,77249,1119,192.168.100.4,80,flow,1,True,2025-06-28T07:32:45.011624+0700,141719830846857,timeout,2025-06-28T07:32:44.908681+0700,closed,slowread_detected,text/html,192.168.100.4,73167,GET,200,/2025/06/05/what-is-a-slow-read-attack-understanding-this-sneaky-cyber-threat/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,55,14,TCP,192.168.100.6,51210,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:36:08.485859+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74655,1116,192.168.100.4,80,flow,0,True,2025-06-28T07:32:45.300154+0700,1457906116285342,timeout,2025-06-28T07:32:45.218014+0700,closed,slowread_detected,text/html,192.168.100.4,70571,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,55,14,TCP,192.168.100.6,51216,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:37:33.297944+0700
,,,,,failed,0,107,ff02:0000:0000:0000:0000:0000:0000:00fb,5353,flow,0,False,2025-06-28T07:30:35.438128+0700,22837275111280,timeout,2025-06-28T07:30:35.438128+0700,new,,,,,,,,,enp0s3,0,1,UDP,fe80:0000:0000:0000:24f3:e4cf:d05f:6115,5353,,,,,,,,,2025-06-28T07:32:45.555844+0700
