06/09/2025-06:54:16.914163  [**] [1:1000002:1] HTTP GET Request Detected [**] [Classification: (null)] [Priority: 3] {TCP} 192.168.100.5:46640 -> 192.168.100.4:80
06/09/2025-06:54:16.924977  [**] [1:1000002:1] HTTP GET Request Detected [**] [Classification: (null)] [Priority: 3] {TCP} 192.168.100.5:46670 -> 192.168.100.4:80
06/09/2025-06:54:16.967127  [**] [1:1000002:1] HTTP GET Request Detected [**] [Classification: (null)] [Priority: 3] {TCP} 192.168.100.5:46654 -> 192.168.100.4:80
06/09/2025-06:54:16.994294  [**] [1:1000002:1] HTTP GET Request Detected [**] [Classification: (null)] [Priority: 3] {TCP} 192.168.100.5:46676 -> 192.168.100.4:80
06/09/2025-06:54:17.062158  [**] [1:1000002:1] HTTP GET Request Detected [**] [Classification: (null)] [Priority: 3] {TCP} 192.168.100.5:46678 -> 192.168.100.4:80
06/09/2025-06:54:17.224708  [**] [1:1000002:1] HTTP GET Request Detected [**] [Classification: (null)] [Priority: 3] {TCP} 192.168.100.5:46706 -> 192.168.100.4:80
06/09/2025-06:54:17.250457  [**] [1:2000100:1] [SLOWREAD] Small TCP Window Size - Possible DoS Attempt [**] [Classification: Attempted Denial of Service] [Priority: 2] {TCP} 192.168.100.5:46676 -> 192.168.100.4:80
06/09/2025-06:54:17.343027  [**] [1:1000002:1] HTTP GET Request Detected [**] [Classification: (null)] [Priority: 3] {TCP} 192.168.100.5:46690 -> 192.168.100.4:80
06/09/2025-06:54:17.419499  [**] [1:1000002:1] HTTP GET Request Detected [**] [Classification: (null)] [Priority: 3] {TCP} 192.168.100.5:46698 -> 192.168.100.4:80
06/09/2025-06:54:17.456325  [**] [1:1000002:1] HTTP GET Request Detected [**] [Classification: (null)] [Priority: 3] {TCP} 192.168.100.5:46710 -> 192.168.100.4:80
06/09/2025-06:54:17.462815  [**] [1:2000300:3] [SlowRead] Excessive Small TCP Payloads - Possible Slow Read DoS [**] [Classification: Attempted Denial of Service] [Priority: 2] {TCP} 192.168.100.5:46698 -> 192.168.100.4:80
06/09/2025-06:54:17.528257  [**] [1:1000002:1] HTTP GET Request Detected [**] [Classification: (null)] [Priority: 3] {TCP} 192.168.100.5:46734 -> 192.168.100.4:80
06/09/2025-06:54:17.592769  [**] [1:1000002:1] HTTP GET Request Detected [**] [Classification: (null)] [Priority: 3] {TCP} 192.168.100.5:46718 -> 192.168.100.4:80
06/09/2025-06:54:17.803104  [**] [1:2000200:5] [SLOWREAD] HTTP GET with Small Payload Size - Possible DoS Attempt [**] [Classification: Attempted Denial of Service] [Priority: 2] {TCP} 192.168.100.5:46742 -> 192.168.100.4:80
06/09/2025-06:54:17.803104  [**] [1:1000002:1] HTTP GET Request Detected [**] [Classification: (null)] [Priority: 3] {TCP} 192.168.100.5:46742 -> 192.168.100.4:80
06/09/2025-06:54:17.814009  [**] [1:1000002:1] HTTP GET Request Detected [**] [Classification: (null)] [Priority: 3] {TCP} 192.168.100.5:46772 -> 192.168.100.4:80
06/09/2025-06:54:17.852368  [**] [1:1000002:1] HTTP GET Request Detected [**] [Classification: (null)] [Priority: 3] {TCP} 192.168.100.5:46754 -> 192.168.100.4:80
06/09/2025-06:54:17.869032  [**] [1:1000002:1] HTTP GET Request Detected [**] [Classification: (null)] [Priority: 3] {TCP} 192.168.100.5:46768 -> 192.168.100.4:80
06/09/2025-06:54:17.915582  [**] [1:2000200:5] [SLOWREAD] HTTP GET with Small Payload Size - Possible DoS Attempt [**] [Classification: Attempted Denial of Service] [Priority: 2] {TCP} 192.168.100.5:46768 -> 192.168.100.4:80
06/09/2025-06:54:18.053747  [**] [1:1000002:1] HTTP GET Request Detected [**] [Classification: (null)] [Priority: 3] {TCP} 192.168.100.5:46774 -> 192.168.100.4:80
06/09/2025-06:54:18.065797  [**] [1:2000300:3] [SlowRead] Excessive Small TCP Payloads - Possible Slow Read DoS [**] [Classification: Attempted Denial of Service] [Priority: 2] {TCP} 192.168.100.5:46772 -> 192.168.100.4:80
06/09/2025-06:54:18.065797  [**] [1:2000400:1] [SlowRead] Simulated Long-Lived Connection - Many Small Packes Over Time [**] [Classification: Attempted Denial of Service] [Priority: 2] {TCP} 192.168.100.5:46772 -> 192.168.100.4:80
06/09/2025-06:54:18.139790  [**] [1:1000002:1] HTTP GET Request Detected [**] [Classification: (null)] [Priority: 3] {TCP} 192.168.100.5:46792 -> 192.168.100.4:80
