alert_action,alert_category,alert_severity,alert_signature,alert_signature_id,app_proto,bytes_toclient,bytes_toserver,dest_ip,dest_port,event_type,flow_age,flow_alerted,flow_end,flow_id,flow_reason,flow_start,flow_state,flowbits,http_content_type,http_host,http_length,http_method,http_status,http_url,http_user_agent,in_iface,pkts_toclient,pkts_toserver,proto,src_ip,src_port,tcp_ack,tcp_fin,tcp_flags,tcp_flags_tc,tcp_flags_ts,tcp_psh,tcp_state,tcp_syn,timestamp
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74862,1122,192.168.100.4,80,flow,1,True,2025-06-27T13:10:21.108959+0700,854757376556363,timeout,2025-06-27T13:10:20.752971+0700,closed,slowread_detected,text/html,192.168.100.4,70571,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,54,12,TCP,192.168.100.6,54364,True,,1e,1a,1e,True,closed,True,2025-06-27T13:13:35.305520+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74947,1056,192.168.100.4,80,flow,1,True,2025-06-27T13:10:24.135236+0700,1727222000858955,timeout,2025-06-27T13:10:23.800587+0700,closed,slowread_detected,text/html,192.168.100.4,70539,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,53,11,TCP,192.168.100.6,54528,True,,1e,1a,1e,True,closed,True,2025-06-27T13:14:23.363538+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,75656,1452,192.168.100.4,80,flow,1,True,2025-06-27T13:10:27.308917+0700,788928413200592,timeout,2025-06-27T13:10:26.946384+0700,closed,slowread_detected,text/html,192.168.100.4,70571,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,55,17,TCP,192.168.100.6,54676,True,,1e,1a,1e,True,closed,True,2025-06-27T13:11:43.210843+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,75524,1122,192.168.100.4,80,flow,1,True,2025-06-27T13:10:30.226517+0700,1854838364540022,timeout,2025-06-27T13:10:29.887926+0700,closed,slowread_detected,text/html,192.168.100.4,70571,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,53,12,TCP,192.168.100.6,60748,True,,1e,1a,1e,True,closed,True,2025-06-27T13:14:03.445017+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,75656,1320,192.168.100.4,80,flow,1,True,2025-06-27T13:10:33.080036+0700,709918195211152,timeout,2025-06-27T13:10:32.744336+0700,closed,slowread_detected,text/html,192.168.100.4,70571,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,55,15,TCP,192.168.100.6,60916,True,,1e,1a,1e,True,closed,True,2025-06-27T13:13:28.655871+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74928,1188,192.168.100.4,80,flow,1,True,2025-06-27T13:10:36.132977+0700,643964677598380,timeout,2025-06-27T13:10:35.797868+0700,closed,slowread_detected,text/html,192.168.100.4,70571,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,55,13,TCP,192.168.100.6,32890,True,,1e,1a,1e,True,closed,True,2025-06-27T13:15:36.048966+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74641,1452,192.168.100.4,80,flow,1,True,2025-06-27T13:10:39.287122+0700,1874728358649786,timeout,2025-06-27T13:10:38.925626+0700,closed,slowread_detected,text/html,192.168.100.4,70547,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,55,17,TCP,192.168.100.6,33078,True,,1e,1a,1e,True,closed,True,2025-06-27T13:14:34.734941+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,75061,1254,192.168.100.4,80,flow,0,True,2025-06-27T13:10:41.982956+0700,1618561476944097,timeout,2025-06-27T13:10:41.811233+0700,closed,slowread_detected,text/html,192.168.100.4,70563,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,54,14,TCP,192.168.100.6,34356,True,,1e,1a,1e,True,closed,True,2025-06-27T13:15:20.163617+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,75601,1188,192.168.100.4,80,flow,1,True,2025-06-27T13:10:45.119962+0700,2093971407174356,timeout,2025-06-27T13:10:44.785108+0700,closed,slowread_detected,text/html,192.168.100.4,70576,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,54,13,TCP,192.168.100.6,34510,True,,1e,1a,1e,True,closed,True,2025-06-27T13:12:48.597997+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74862,1122,192.168.100.4,80,flow,0,True,2025-06-27T13:10:48.544830+0700,1180758281039474,timeout,2025-06-27T13:10:48.208498+0700,closed,slowread_detected,text/html,192.168.100.4,70571,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,54,12,TCP,192.168.100.6,34680,True,,1e,1a,1e,True,closed,True,2025-06-27T13:14:51.420380+0700
