flow_id,timestamp,src_ip,src_port,dest_ip,dest_port,proto,app_proto,in_iface,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,flow_start,flow_end,duration,flow_state,tcp_flags,alert_signature,alert_severity,alert_action,http_method,http_url,http_status,http_user_agent,http_length,flowbits_count
1413927063784762,2025-06-02T18:39:38.500201+0700,192.168.100.5,34518,192.168.100.4,80,TCP,http,enp0s3,6,5,638,2149,2025-06-02T18:34:56.724282+0700,2025-06-02T18:35:01.317516+0700,4.593234,closed,1b,,,,,,,,,3
353083045112364,2025-06-02T18:41:29.280507+0700,192.168.100.5,41480,192.168.100.4,80,TCP,http,enp0s3,6,5,628,2149,2025-06-02T18:39:38.584236+0700,2025-06-02T18:39:42.743843+0700,4.159607,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=388&q=contact,200,Mozilla/5.0 (X11; Linux x86_64),1550,3
1287015093913764,2025-06-02T18:42:52.052888+0700,192.168.100.5,48168,192.168.100.4,80,TCP,http,enp0s3,6,5,626,2149,2025-06-02T18:39:42.739492+0700,2025-06-02T18:39:47.225509+0700,4.486017,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=920&q=about,200,Mozilla/5.0 (X11; Linux x86_64),1550,3
1485781885739252,2025-06-02T18:41:40.622521+0700,192.168.100.5,48176,192.168.100.4,80,TCP,http,enp0s3,6,5,644,2149,2025-06-02T18:39:47.221428+0700,2025-06-02T18:39:52.767708+0700,5.54628,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=713&q=contact,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1550,3
999106247311496,2025-06-02T18:39:50.508913+0700,192.168.100.5,51872,192.168.100.4,80,TCP,http,enp0s3,6,5,639,2149,2025-06-02T18:37:26.311432+0700,2025-06-02T18:37:31.208495+0700,4.897063,closed,1b,,,,,,,,,3
2166035980323632,2025-06-02T18:39:51.183514+0700,fe80:0000:0000:0000:24f3:e4cf:d05f:6115,,ff02:0000:0000:0000:0000:0000:0000:0016,,IPv6-ICMP,,enp0s3,2,0,220,0,2025-06-02T18:38:21.166704+0700,2025-06-02T18:38:21.288569+0700,0.121865,new,,,,,,,,,,0
1687937406769917,2025-06-02T18:42:16.012216+0700,192.168.100.5,60018,192.168.100.4,80,TCP,http,enp0s3,6,5,645,2149,2025-06-02T18:39:52.760573+0700,2025-06-02T18:39:56.796832+0700,4.036259,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=477&q=services,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1550,3
1650236184072425,2025-06-02T18:41:12.601730+0700,192.168.100.5,60026,192.168.100.4,80,TCP,http,enp0s3,6,5,635,2149,2025-06-02T18:39:56.790761+0700,2025-06-02T18:40:02.282548+0700,5.491787,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=607&q=home,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1550,3
1747908019356565,2025-06-02T18:39:58.523519+0700,192.168.100.5,52470,192.168.100.4,80,TCP,http,enp0s3,6,5,625,2149,2025-06-02T18:35:52.394133+0700,2025-06-02T18:35:56.488519+0700,4.094386,closed,1b,,,,,,,,,3
1085108682635549,2025-06-02T18:42:17.344788+0700,192.168.100.5,54826,192.168.100.4,80,TCP,http,enp0s3,6,5,639,2149,2025-06-02T18:40:02.276765+0700,2025-06-02T18:40:06.548315+0700,4.27155,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=715&q=services,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1550,3
2017803780901919,2025-06-02T18:43:38.091707+0700,192.168.100.5,54842,192.168.100.4,80,TCP,http,enp0s3,6,5,626,2149,2025-06-02T18:40:06.543775+0700,2025-06-02T18:40:12.226521+0700,5.682746,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=344&q=about,200,Mozilla/5.0 (X11; Linux x86_64),1550,3
1477776068338724,2025-06-02T18:41:27.279665+0700,192.168.100.5,56074,192.168.100.4,80,TCP,http,enp0s3,6,5,636,2149,2025-06-02T18:40:12.222244+0700,2025-06-02T18:40:16.413832+0700,4.191588,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=729&q=about,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1550,3
1832402928287888,2025-06-02T18:43:31.419639+0700,192.168.100.5,56086,192.168.100.4,80,TCP,http,enp0s3,6,5,645,2149,2025-06-02T18:40:16.409744+0700,2025-06-02T18:40:21.429623+0700,5.019879,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=646&q=services,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1550,3
893514487791513,2025-06-02T18:44:50.197797+0700,192.168.100.5,56100,192.168.100.4,80,TCP,http,enp0s3,6,5,636,2149,2025-06-02T18:40:21.425881+0700,2025-06-02T18:40:26.068884+0700,4.643003,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=484&q=about,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1550,3
495444015952649,2025-06-02T18:40:22.545375+0700,192.168.100.5,39624,192.168.100.4,80,TCP,http,enp0s3,6,5,639,2149,2025-06-02T18:35:47.176905+0700,2025-06-02T18:35:52.398544+0700,5.221639,closed,1b,,,,,,,,,3
199361873771490,2025-06-02T18:45:06.261369+0700,192.168.100.5,51588,192.168.100.4,80,TCP,http,enp0s3,6,5,642,2149,2025-06-02T18:40:26.064482+0700,2025-06-02T18:40:31.710924+0700,5.646442,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=304&q=about,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),1550,3
176495452410029,2025-06-02T18:40:27.202440+0700,192.168.100.5,60254,192.168.100.4,80,TCP,http,enp0s3,6,5,638,2149,2025-06-02T18:36:30.577709+0700,2025-06-02T18:36:34.666728+0700,4.089019,closed,1b,,,,,,,,,3
1865963788861042,2025-06-02T18:40:29.203232+0700,192.168.100.5,39168,192.168.100.4,80,TCP,http,enp0s3,6,5,641,2149,2025-06-02T18:36:44.097906+0700,2025-06-02T18:36:50.016966+0700,5.91906,closed,1b,,,,,,,,,3
318444137334829,2025-06-02T18:43:21.410914+0700,192.168.100.5,51604,192.168.100.4,80,TCP,http,enp0s3,6,5,638,2149,2025-06-02T18:40:31.706605+0700,2025-06-02T18:40:37.580407+0700,5.873802,closed,1b,HTTP GET Request Detected,3,allowed,GET,/?id=366&q=contact,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64),1550,3
