alert_severity,alert_signature,alert_signature_id,app_proto,bytes_toclient,bytes_toserver,dest_ip,dest_port,event_type,flow_age,flow_id,flow_state,http_host,http_length,http_method,http_status,http_url,http_user_agent,pkts_toclient,pkts_toserver,proto,src_ip,src_port,timestamp
,,,http,2149,625,192.168.100.4,80,flow,4,1747908019356565,closed,,,,,,,5,6,TCP,192.168.100.5,52470,2025-06-02T18:39:58.523519+0700
3,HTTP GET Request Detected,1000002,http,2149,639,192.168.100.4,80,flow,4,1085108682635549,closed,192.168.100.4,1550,GET,200,/?id=715&q=services,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5,6,TCP,192.168.100.5,54826,2025-06-02T18:42:17.344788+0700
3,HTTP GET Request Detected,1000002,http,2149,626,192.168.100.4,80,flow,6,2017803780901919,closed,192.168.100.4,1550,GET,200,/?id=344&q=about,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,54842,2025-06-02T18:43:38.091707+0700
3,HTTP GET Request Detected,1000002,http,2149,636,192.168.100.4,80,flow,4,1477776068338724,closed,192.168.100.4,1550,GET,200,/?id=729&q=about,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5,6,TCP,192.168.100.5,56074,2025-06-02T18:41:27.279665+0700
3,HTTP GET Request Detected,1000002,http,2149,645,192.168.100.4,80,flow,5,1832402928287888,closed,192.168.100.4,1550,GET,200,/?id=646&q=services,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,56086,2025-06-02T18:43:31.419639+0700
3,HTTP GET Request Detected,1000002,http,2149,636,192.168.100.4,80,flow,5,893514487791513,closed,192.168.100.4,1550,GET,200,/?id=484&q=about,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5,6,TCP,192.168.100.5,56100,2025-06-02T18:44:50.197797+0700
,,,http,2149,639,192.168.100.4,80,flow,5,495444015952649,closed,,,,,,,5,6,TCP,192.168.100.5,39624,2025-06-02T18:40:22.545375+0700
3,HTTP GET Request Detected,1000002,http,2149,642,192.168.100.4,80,flow,5,199361873771490,closed,192.168.100.4,1550,GET,200,/?id=304&q=about,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,51588,2025-06-02T18:45:06.261369+0700
,,,http,2149,638,192.168.100.4,80,flow,4,176495452410029,closed,,,,,,,5,6,TCP,192.168.100.5,60254,2025-06-02T18:40:27.202440+0700
,,,http,2149,641,192.168.100.4,80,flow,6,1865963788861042,closed,,,,,,,5,6,TCP,192.168.100.5,39168,2025-06-02T18:40:29.203232+0700
3,HTTP GET Request Detected,1000002,http,2149,638,192.168.100.4,80,flow,6,318444137334829,closed,192.168.100.4,1550,GET,200,/?id=366&q=contact,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5,6,TCP,192.168.100.5,51604,2025-06-02T18:43:21.410914+0700
,,,http,2149,644,192.168.100.4,80,flow,5,1306909369228457,closed,,,,,,,5,6,TCP,192.168.100.5,54874,2025-06-02T18:40:35.207721+0700
3,HTTP GET Request Detected,1000002,http,2149,645,192.168.100.4,80,flow,5,1471806065462706,closed,192.168.100.4,1550,GET,200,/?id=185&q=services,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,44402,2025-06-02T18:45:16.302445+0700
,,,http,2149,628,192.168.100.4,80,flow,5,1913620741933396,closed,,,,,,,5,6,TCP,192.168.100.5,39608,2025-06-02T18:40:41.220451+0700
3,HTTP GET Request Detected,1000002,http,2149,625,192.168.100.4,80,flow,4,1009573095422866,closed,192.168.100.4,1550,GET,200,/?id=275&q=home,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,34164,2025-06-02T18:44:08.168893+0700
3,HTTP GET Request Detected,1000002,http,2149,644,192.168.100.4,80,flow,6,2044119048135819,closed,192.168.100.4,1550,GET,200,/?id=978&q=contact,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,34168,2025-06-02T18:45:32.414533+0700
3,HTTP GET Request Detected,1000002,http,2149,642,192.168.100.4,80,flow,5,184952260148433,closed,192.168.100.4,1550,GET,200,/?id=824&q=about,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,55020,2025-06-02T18:43:33.421923+0700
3,HTTP GET Request Detected,1000002,http,2149,629,192.168.100.4,80,flow,7,752682512540211,closed,192.168.100.4,1550,GET,200,/?id=455&q=services,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,55034,2025-06-02T18:44:50.197603+0700
,,,http,2149,645,192.168.100.4,80,flow,5,758974624065061,closed,,,,,,,5,6,TCP,192.168.100.5,53548,2025-06-02T18:41:01.263227+0700
3,HTTP GET Request Detected,1000002,http,2149,628,192.168.100.4,80,flow,5,15180793647913,closed,192.168.100.4,1550,GET,200,/?id=428&q=contact,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,46520,2025-06-02T18:43:52.122362+0700
3,HTTP GET Request Detected,1000002,http,2149,629,192.168.100.4,80,flow,4,436869273034885,closed,192.168.100.4,1550,GET,200,/?id=844&q=services,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,46536,2025-06-02T18:42:43.377982+0700
3,HTTP GET Request Detected,1000002,http,2149,625,192.168.100.4,80,flow,4,2094997232486985,closed,192.168.100.4,1550,GET,200,/?id=955&q=home,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,43832,2025-06-02T18:45:50.034237+0700
,,,http,2149,637,192.168.100.4,80,flow,5,104352887277644,closed,,,,,,,5,6,TCP,192.168.100.5,56322,2025-06-02T18:41:15.269618+0700
3,HTTP GET Request Detected,1000002,http,2149,642,192.168.100.4,80,flow,6,1913032353370516,closed,192.168.100.4,1550,GET,200,/?id=594&q=about,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,43844,2025-06-02T18:45:49.366733+0700
,,,http,2149,645,192.168.100.4,80,flow,5,1332606158876108,closed,,,,,,,5,6,TCP,192.168.100.5,60246,2025-06-02T18:41:19.273321+0700
3,HTTP GET Request Detected,1000002,http,2149,639,192.168.100.4,80,flow,4,654589756168445,closed,192.168.100.4,1550,GET,200,/?id=275&q=services,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5,6,TCP,192.168.100.5,39780,2025-06-02T18:44:54.202305+0700
3,HTTP GET Request Detected,1000002,http,2149,644,192.168.100.4,80,flow,6,268888808357602,closed,192.168.100.4,1550,GET,200,/?id=59&q=services,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,39792,2025-06-02T18:43:05.390882+0700
,,,http,2149,640,192.168.100.4,80,flow,5,1479983669303439,closed,,,,,,,5,6,TCP,192.168.100.5,56540,2025-06-02T18:41:30.614879+0700
3,HTTP GET Request Detected,1000002,http,2149,628,192.168.100.4,80,flow,5,1281208305393776,closed,192.168.100.4,1550,GET,200,/?id=528&q=contact,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,42160,2025-06-02T18:43:51.454959+0700
